Model,Accuracy,Precision,Recall,F1-Score
efficientnet_b0,0.8493877551020408,0.8487842950877006,0.8493877551020408,0.845106202246028
resnet50,0.7906122448979592,0.7880680395992441,0.7906122448979592,0.7865312175301308
densenet121,0.7583673469387755,0.761095602705753,0.7583673469387755,0.7513725284067037
ensemble,0.8306122448979592,0.8296717601678717,0.8306122448979592,0.8264781833925074
